Neighbourhood	Neighbourhood Id	Ward	Avg Home Sale Price
West Humber-Clairville	1	2	317508
Mount Olive-Silverstone-Jamestown	2	1	251119
Thistletown-Beaumond Heights	3	1	414216
Rexdale-Kipling	4	2	392271
Elms-Old Rexdale	5	2	233832
Kingsview Village-The Westway	6	2	292861
Willowridge-Martingrove-Richview	7	4	511637
Humber Heights-Westmount	8	2	491396
Edenbridge-Humber Valley	9	4	873268
Princess-Rosethorn	10	4	971668
Eringate-Centennial-West Deane	11	3	423034
Markland Wood	12	3	505350
Etobicoke West Mall	13	3	298426
Islington-City Centre West	14	5	491678
Kingsway South	15	5	941223
Stonegate-Queensway	16	5	690949
Mimico	17	6	429941
New Toronto	18	6	460811
Long Branch	19	6	459088
Alderwood	20	6	504233
Humber Summit	21	7	354381
Humbermede	22	7	314721
Pelmo Park-Humberlea	23	11	412618
Black Creek	24	8	235143
Glenfield-Jane Heights	25	9	304262
Downsview-Roding-CFB	26	9	400486
York University Heights	27	8	359372
Rustic	28	12	493442
Maple Leaf	29	12	540741
Brookhaven-Amesbury	30	12	352428
Yorkdale-Glen Park	31	15	421045
Englemount-Lawrence	32	15	577889
Clanton Park	33	10	605585
Bathurst Manor	34	10	568877
Westminster-Branson	35	10	372380
Newtonbrook West	36	23	557468
Willowdale West	37	23	541247
Lansing-Westgate	38	23	646460
Bedford Park-Nortown	39	16	1191040
St.Andrew-Windfields	40	25	1363202
Bridle Path-Sunnybrook-York Mills	41	25	1849084
Banbury-Don Mills	42	25	613647
Victoria Village	43	34	365107
Flemingdon Park	44	26	204104
Parkwoods-Donalda	45	34	553698
Pleasant View	46	33	463859
Don Valley Village	47	33	478489
Hillcrest Village	48	24	484743
Bayview Woods-Steeles	49	24	784397
Newtonbrook East	50	24	626626
Willowdale East	51	23	540911
Bayview Village	52	24	533089
Henry Farm	53	33	372110
O'Connor-Parkview	54	31	538203
Thorncliffe Park	55	26	313618
Leaside-Bennington	56	26	1071823
Broadview North	57	29	518555
Old East York	58	29	581398
Danforth-East York	59	29	518568
Woodbine-Lumsden	60	31	440700
Taylor-Massey	61	31	254151
East End-Danforth	62	32	535867
The Beaches	63	32	751945
Woodbine Corridor	64	32	521549
Greenwood-Coxwell	65	30	490920
Danforth	66	29	585093
Playter Estates-Danforth	67	29	842668
North Riverdale	68	30	818592
Blake-Jones	69	30	571246
South Riverdale	70	30	537087
Cabbagetown-South St.James Town	71	28	537025
Regent Park	72	28	484444
Moss Park	73	28	457524
North St.James Town	74	28	489366
Church-Yonge Corridor	75	27	410703
Bay Street Corridor	76	27	457787
Waterfront Communities-The Island	77	28	416759
Kensington-Chinatown	78	20	477989
University	79	20	773920
Palmerston-Little Italy	80	19	781568
Trinity-Bellwoods	81	19	723909
Niagara	82	19	398281
Dufferin Grove	83	18	502736
Little Portugal	84	18	514960
South Parkdale	85	14	500054
Roncesvalles	86	14	581425
High Park-Swansea	87	13	622206
High Park North	88	13	609689
Runnymede-Bloor West Village	89	13	666204
Junction Area	90	11	532997
Weston-Pellam Park	91	17	382119
Corso Italia-Davenport	92	17	502819
Dovercourt-Wallace Emerson-Juncti	93	18	512789
Wychwood	94	21	656868
Annex	95	20	993491
Casa Loma	96	22	1083381
Yonge-St.Clair	97	22	995616
Rosedale-Moore Park	98	27	1265389
Mount Pleasant East	99	22	815247
Yonge-Eglinton	100	22	975449
Forest Hill South	101	22	1585984
Forest Hill North	102	21	957688
Lawrence Park South	103	16	1215390
Mount Pleasant West	104	22	520032
Lawrence Park North	105	25	980831
Humewood-Cedarvale	106	21	800442
Oakwood Village	107	15	482040
Briar Hill-Belgravia	108	15	373937
Caledonia-Fairbank	109	17	400532
Keelesdale-Eglinton West	110	12	373029
Rockcliffe-Smythe	111	11	353967
Beechborough-Greenbrook	112	12	440179
Weston	113	11	280187
Lambton Baby Point	114	13	806452
Mount Dennis	115	11	273418
Steeles	116	39	440688
L'Amoreaux	117	39	355438
Tam O'Shanter-Sullivan	118	40	411143
Wexford/Maryvale	119	37	422689
Clairlea-Birchmount	120	35	387912
Oakridge	121	35	347446
Birchcliffe-Cliffside	122	36	522905
Cliffcrest	123	36	542218
Kennedy Park	124	35	293600
Ionview	125	37	330109
Dorset Park	126	37	279189
Bendale	127	38	329355
Agincourt South-Malvern West	128	41	332710
Agincourt North	129	41	375307
Milliken	130	41	387879
Rouge	131	42	426850
Malvern	132	42	256488
Centennial Scarborough	133	44	491024
Highland Creek	134	44	529278
Morningside	135	43	289646
West Hill	136	44	308229
Woburn	137	38	316584
Eglinton East	138	38	274020
Scarborough Village	139	36	356096
Guildwood	140	43	444309
